PLAYER,TEAM,GP,W,L,MIN,Dist. Feet,Dist. Miles,Dist. Miles Off,Dist. Miles Def,Avg Speed,Avg Speed Off,Avg Speed Def
Max Strus,CLE,70,43,27,32,13644.5,2.58,1.43,1.15,4.53,5.08,3.98
Maxi Kleber,DAL,42,26,16,20.3,7671.6,1.45,0.75,0.7,3.96,4.14,3.78
Maxwell Lewis,LAL,33,17,16,2.9,1112.1,0.21,0.11,0.1,4.02,3.94,4
Micah Potter,UTA,16,3,13,11.6,4823.1,0.91,0.47,0.44,4.34,4.42,4.26
Michael Porter Jr.,DEN,79,55,24,31.8,11937.3,2.26,1.19,1.07,4.01,4.15,3.87
Mikal Bridges,BKN,79,32,47,34.9,14149.8,2.68,1.48,1.2,4.3,4.67,3.91
Mike Conley,MIN,76,53,23,28.9,11576,2.19,1.22,0.98,4.25,4.64,3.85
Mike Muscala,OKC,53,17,36,11.3,4710.5,0.89,0.48,0.41,4.39,4.69,4.07
Miles Bridges,CHA,68,16,52,37.4,14885,2.82,1.56,1.26,4.23,4.63,3.83
Miles McBride,NYK,68,42,26,19.5,8039.6,1.52,0.81,0.71,4.38,4.48,4.26
Mitchell Robinson,NYK,31,19,12,24.8,9398.6,1.78,0.97,0.81,3.98,4.01,3.94
Mo Bamba,PHI,56,29,27,12.9,5023.8,0.95,0.52,0.43,4.14,4.33,3.91
Monté Morris,MIN,33,21,12,14.4,5715.6,1.08,0.59,0.49,4.19,4.57,3.81
Moritz Wagner,ORL,80,46,34,17.7,7136.8,1.35,0.74,0.61,4.24,4.52,3.95
Moses Brown,POR,22,4,18,9.1,3636.4,0.69,0.38,0.31,4.25,4.51,3.92
Moses Moody,GSW,65,38,27,17.4,7026.4,1.33,0.73,0.6,4.26,4.55,3.96
Mouhamadou Gueye,TOR,11,0,11,10.9,4691.8,0.89,0.46,0.42,4.55,4.86,4.27
Mouhamed Gueye,ATL,6,2,4,12.1,5227.2,0.99,0.54,0.45,4.32,4.33,4.31
